"date_from","date_till","JN.1","JN.1.11","JN.1.16","JN.1.16.1","JN.1.18.6","JN.1.40","JN.1.8","KP.1.1.3","KP.2","KP.2.3","KP.3","KP.3.1","KP.3.1.1","KP.3.3","LP.8.1","MB.1.1","MC.1","XDY","XEC"
2024-10-01,2024-10-01,2,9,13,12,3,1,9,5,6,16,4,22,210,13,0,1,7,4,34
2024-10-02,2024-10-02,3,8,15,5,4,4,6,5,10,13,9,18,176,5,0,3,11,6,27
2024-10-03,2024-10-03,2,6,15,5,2,4,2,10,4,7,7,12,139,6,0,4,10,2,40
2024-10-04,2024-10-04,4,1,8,8,2,1,5,4,7,8,3,16,121,3,0,2,3,1,30
2024-10-05,2024-10-05,2,2,2,7,0,1,7,5,3,4,3,9,83,2,0,1,6,3,22
2024-10-06,2024-10-06,3,4,5,7,4,0,8,1,4,12,5,10,99,1,0,5,6,0,14
2024-10-07,2024-10-07,3,12,9,10,3,5,7,11,2,9,12,15,190,7,0,6,13,6,31
2024-10-08,2024-10-08,4,5,11,9,3,3,15,10,4,12,9,16,161,6,0,3,20,2,46
2024-10-09,2024-10-09,3,1,11,8,3,4,15,11,4,13,9,14,152,4,1,2,8,1,30
2024-10-10,2024-10-10,4,5,9,6,3,0,17,6,3,12,6,8,152,1,3,1,12,4,34
2024-10-11,2024-10-11,0,3,8,10,2,2,7,8,2,8,7,13,114,2,0,1,7,3,33
2024-10-12,2024-10-12,3,1,6,5,1,1,2,3,0,4,3,7,61,8,1,1,3,2,19
2024-10-13,2024-10-13,2,3,6,3,1,0,7,4,3,8,3,10,91,6,0,1,4,0,30
2024-10-14,2024-10-14,0,5,12,1,6,2,9,9,4,13,3,13,132,5,0,2,14,4,35
2024-10-15,2024-10-15,0,4,7,1,2,4,5,6,1,17,6,17,133,2,0,1,16,2,34
2024-10-16,2024-10-16,0,4,7,2,0,5,6,5,0,9,8,12,151,4,0,1,10,2,32
2024-10-17,2024-10-17,2,6,7,3,4,0,1,4,2,12,8,8,88,1,0,1,10,2,43
2024-10-18,2024-10-18,2,7,7,1,0,3,1,3,3,9,6,8,77,2,0,0,11,0,28
2024-10-19,2024-10-19,1,3,4,4,1,0,5,3,1,3,1,7,48,1,0,1,3,0,16
2024-10-20,2024-10-20,1,8,7,2,4,2,7,1,0,5,1,11,73,0,0,0,5,0,24
2024-10-21,2024-10-21,2,4,6,6,1,3,5,5,0,11,4,17,104,0,0,1,6,1,44
2024-10-22,2024-10-22,3,11,3,2,6,7,4,4,5,9,6,14,120,0,0,8,11,2,41
2024-10-23,2024-10-23,2,8,8,3,5,1,9,4,2,5,4,11,92,1,0,4,11,2,44
2024-10-24,2024-10-24,2,7,4,5,3,3,5,7,1,10,4,12,95,2,0,1,9,2,42
2024-10-25,2024-10-25,0,7,5,3,1,3,3,1,1,2,1,9,79,0,0,0,11,1,43
2024-10-26,2024-10-26,0,9,1,0,4,3,4,0,0,2,3,6,46,0,0,1,3,2,24
2024-10-27,2024-10-27,1,1,2,0,2,2,7,2,3,3,3,7,56,0,0,1,5,0,25
2024-10-28,2024-10-28,0,8,3,2,1,1,6,6,1,1,2,10,117,2,1,1,11,2,53
2024-10-29,2024-10-29,2,3,5,2,4,4,13,5,2,4,4,6,114,0,0,2,5,1,51
2024-10-30,2024-10-30,0,7,2,1,1,8,1,3,1,7,2,12,93,1,0,2,14,3,61
2024-10-31,2024-10-31,1,6,2,1,5,6,6,6,2,1,2,14,83,0,1,1,7,1,49
2024-11-01,2024-11-01,1,8,3,2,4,3,8,5,1,1,7,5,103,2,2,0,5,2,45
2024-11-02,2024-11-02,0,4,3,0,1,0,5,1,0,3,5,8,46,2,1,0,5,1,29
2024-11-03,2024-11-03,2,1,1,1,1,0,7,1,0,1,3,4,72,2,0,2,8,0,36
2024-11-04,2024-11-04,1,4,4,1,1,6,12,9,0,9,8,5,117,1,1,1,14,3,45
2024-11-05,2024-11-05,1,4,1,0,2,5,11,6,1,2,6,9,105,1,1,0,14,1,68
2024-11-06,2024-11-06,1,2,2,0,7,4,11,8,0,4,1,6,109,0,1,2,13,5,59
2024-11-07,2024-11-07,1,2,7,2,5,9,8,2,0,2,2,7,75,3,1,0,13,4,43
2024-11-08,2024-11-08,0,2,8,1,6,2,4,2,0,1,2,7,57,0,0,1,7,4,48
2024-11-09,2024-11-09,0,4,0,0,4,0,5,1,1,1,3,1,36,0,0,0,4,0,26
2024-11-10,2024-11-10,3,7,0,0,1,3,4,2,1,0,2,6,41,0,0,1,2,1,30
2024-11-11,2024-11-11,0,4,2,2,7,5,2,11,2,3,5,4,73,1,1,4,5,2,54
2024-11-12,2024-11-12,0,2,5,0,5,3,4,5,2,1,1,8,85,4,0,1,8,1,47
2024-11-13,2024-11-13,1,3,6,0,3,3,4,9,1,1,4,13,85,4,0,1,13,2,59
2024-11-14,2024-11-14,0,1,2,2,7,4,4,3,0,5,3,7,77,1,1,1,17,1,59
2024-11-15,2024-11-15,1,3,5,0,4,5,3,4,2,0,1,7,61,2,0,1,11,2,65
2024-11-16,2024-11-16,0,1,4,1,1,1,3,1,0,0,0,6,42,2,1,0,10,1,39
2024-11-17,2024-11-17,0,1,3,0,0,4,3,2,0,2,2,7,44,1,0,0,4,0,38
2024-11-18,2024-11-18,1,2,2,3,5,2,10,6,0,3,3,14,90,2,0,1,7,1,76
2024-11-19,2024-11-19,0,1,2,2,7,3,3,12,0,3,1,9,58,2,3,3,13,4,66
2024-11-20,2024-11-20,0,4,3,3,8,6,2,3,0,2,8,7,70,0,0,0,16,3,50
2024-11-21,2024-11-21,1,4,3,4,2,0,11,7,0,1,1,14,60,1,1,0,8,0,49
2024-11-22,2024-11-22,0,3,2,0,9,3,2,8,0,0,2,10,55,0,2,0,9,0,51
2024-11-23,2024-11-23,1,2,0,2,6,4,4,3,0,1,2,5,39,0,0,0,3,0,32
2024-11-24,2024-11-24,0,1,0,0,3,2,8,2,0,0,2,15,43,0,1,0,5,1,39
2024-11-25,2024-11-25,0,5,0,1,8,5,7,7,0,1,1,12,94,0,1,3,7,2,71
2024-11-26,2024-11-26,0,3,1,1,5,5,4,13,2,1,1,16,73,0,0,1,11,1,58
2024-11-27,2024-11-27,0,6,1,0,7,5,7,7,3,1,3,6,53,1,3,2,8,0,51
2024-11-28,2024-11-28,1,2,1,1,4,2,2,4,0,2,2,7,35,0,0,1,4,0,36
2024-11-29,2024-11-29,0,5,6,1,4,3,3,4,0,0,1,7,43,0,2,0,8,1,42
2024-11-30,2024-11-30,0,2,4,1,4,2,1,0,0,0,2,6,45,1,1,3,6,0,42
2024-12-01,2024-12-01,1,4,2,1,3,4,3,3,1,0,2,7,52,1,1,0,9,2,51
2024-12-02,2024-12-02,2,1,19,1,7,8,10,8,0,1,5,15,58,0,1,1,17,0,94
2024-12-03,2024-12-03,2,4,8,1,9,2,6,7,3,2,1,14,71,0,9,2,9,0,103
2024-12-04,2024-12-04,0,4,4,4,5,10,9,4,1,1,1,6,67,2,1,1,15,1,91
2024-12-05,2024-12-05,3,5,16,3,3,7,6,2,0,1,5,10,56,0,1,2,14,2,86
2024-12-06,2024-12-06,0,4,8,3,6,0,5,2,0,0,3,6,53,0,4,1,11,2,64
2024-12-07,2024-12-07,1,1,8,1,8,3,4,1,0,0,1,4,48,0,4,1,9,1,54
2024-12-08,2024-12-08,2,2,5,0,7,3,2,4,3,2,1,5,36,0,5,3,7,0,68
2024-12-09,2024-12-09,2,3,7,4,6,3,7,3,0,0,5,9,94,4,6,2,21,1,111
2024-12-10,2024-12-10,4,5,4,4,6,7,8,4,0,0,6,3,80,0,5,2,14,2,108
2024-12-11,2024-12-11,3,1,10,2,6,3,6,10,1,0,4,9,86,1,3,1,10,1,94
2024-12-12,2024-12-12,0,0,5,4,8,1,9,3,1,0,1,6,68,1,6,1,13,0,85
2024-12-13,2024-12-13,0,5,7,2,4,4,7,7,1,0,3,4,68,1,7,0,12,2,86
2024-12-14,2024-12-14,0,1,6,2,5,0,3,4,0,0,2,2,31,2,4,0,15,0,42
2024-12-15,2024-12-15,0,2,6,2,11,1,5,1,0,0,0,3,34,1,4,1,9,0,52
2024-12-16,2024-12-16,3,6,4,5,10,2,10,2,0,1,3,4,64,0,5,2,19,0,130
2024-12-17,2024-12-17,3,8,7,3,7,1,7,13,0,3,1,5,63,1,4,3,8,0,99
2024-12-18,2024-12-18,2,8,4,3,8,2,12,3,0,0,7,6,52,2,6,2,9,2,101
2024-12-19,2024-12-19,3,5,3,4,12,1,8,7,0,0,1,6,63,4,4,0,11,2,98
2024-12-20,2024-12-20,2,6,5,6,4,0,8,3,1,1,1,2,66,2,9,0,7,3,91
2024-12-21,2024-12-21,4,7,1,2,7,2,9,4,2,1,1,4,24,1,1,0,4,0,48
2024-12-22,2024-12-22,2,4,4,1,5,2,7,2,1,0,4,3,34,1,2,1,17,1,60
2024-12-23,2024-12-23,2,5,7,7,7,5,11,16,1,1,2,7,47,1,4,3,18,0,100
2024-12-24,2024-12-24,2,6,2,5,2,7,6,2,0,0,2,7,46,1,10,4,16,0,82
2024-12-25,2024-12-25,0,5,6,2,3,2,7,3,1,1,1,2,29,0,5,0,9,0,57
