"date","BA.1.20","BA.2","BA.2.12.1","BA.2.86.1","BA.3","BA.4.6","BF.7","DV.7.1","EG.5.1.8","GK.3.1","HV.1","JG.3","JN.1","JN.1.10","JN.1.11","JN.1.11.1","JN.1.11.2","JN.1.13","JN.1.15","JN.1.16","JN.1.16.1","JN.1.16.3","JN.1.16.5","JN.1.17","JN.1.18","JN.1.18.2","JN.1.18.3","JN.1.18.5","JN.1.18.6","JN.1.2","JN.1.20","JN.1.21","JN.1.26","JN.1.29","JN.1.3","JN.1.30","JN.1.32","JN.1.34","JN.1.37","JN.1.38","JN.1.39.2","JN.1.4","JN.1.4.3","JN.1.4.4","JN.1.4.5","JN.1.40","JN.1.48","JN.1.49","JN.1.49.1","JN.1.51.1","JN.1.52","JN.1.53","JN.1.54","JN.1.56","JN.1.58","JN.1.58.2","JN.1.59","JN.1.6","JN.1.60","JN.1.61","JN.1.63","JN.1.65.1","JN.1.7","JN.1.7.3","JN.1.7.4","JN.1.7.8","JN.1.8","JN.1.8.1","JN.1.9","JN.1.9.1","JN.1.9.2","JN.11","KP.1","KP.1.1","KP.1.1.1","KP.1.1.3","KP.1.1.5","KP.1.2","KP.2","KP.2.1","KP.2.14","KP.2.15","KP.2.2","KP.2.3","KP.2.3.10","KP.2.3.2","KP.2.3.3","KP.2.3.4","KP.2.3.6","KP.2.3.8","KP.2.5","KP.2.6","KP.2.6.2","KP.2.9","KP.3","KP.3.1","KP.3.1.1","KP.3.1.3","KP.3.1.4","KP.3.1.6","KP.3.1.8","KP.3.1.9","KP.3.2","KP.3.2.1","KP.3.2.3","KP.3.2.4","KP.3.2.5","KP.3.3","KP.3.3.1","KP.3.3.2","KP.3.3.3","KP.3.3.5","KP.3.4","KP.3.5","KP.4","KP.4.1","KP.4.1.3","KP.4.2","KP.5","KR.1","KS.1","KS.1.1","KS.1.1.3","LB.1","LB.1.1","LB.1.2","LB.1.2.1","LB.1.2.2","LB.1.3","LB.1.3.1","LB.1.4","LB.1.4.1","LB.1.5","LB.1.6","LB.1.7","LB.1.7.1","LB.1.7.2","LD.1","LE.1","LF.3.1","LF.3.1.1","LF.5","LF.7","LF.7.1","LF.7.1.2","LF.7.1.3","LF.7.2","LF.7.2.1","LF.7.3","LF.7.3.1","LF.7.4","LF.7.6","LF.7.6.1","LF.9.1","LG.1","LJ.1","LP.1","LP.1.1","LP.1.2","LP.4","LP.5","LP.6","LP.7","LP.8.1","LP.8.1.1","LP.8.1.2","LP.8.1.5","LP.8.1.7","LP.8.2.1","LP.9","LR.1","LR.2","LU.2","LU.2.1","LU.2.1.1","LW.1","LY.1","LZ.1","MA.1","MB.1","MB.1.1","MC.1","MC.1.1","MC.1.3","MC.1.5","MC.10","MC.10.1","MC.10.1.1","MC.10.2","MC.11","MC.13","MC.13.1","MC.13.4","MC.14","MC.16","MC.19","MC.2.1","MC.20","MC.22","MC.23","MC.24","MC.25","MC.26","MC.26.1","MC.27","MC.30","MC.30.1.1","MC.33.1","MC.34","MC.35","MC.6","MC.8.1","MD.3.1","MG.1","MH.1","MJ.1","MK.1","ML.2","MV.1","ND.1.1","ND.1.1.2","NL.2","NL.4","NT.1","XBB.1","XBB.1.16.18","XBB.1.28.1","XDQ","XDQ.1","XDV.1","XDY","XEC","XEC.1","XEC.12","XEC.14","XEC.15","XEC.18","XEC.19","XEC.2","XEC.21","XEC.24","XEC.5","XEC.8","XEC.9"
2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0,13,12,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,0,0,0,1,1,0,1,0,5,1,0,6,0,0,0,2,16,0,0,0,0,0,0,0,0,0,1,4,22,210,0,0,0,0,0,0,1,1,0,1,13,7,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-02,0,0,0,4,0,0,0,0,0,1,0,0,3,0,8,2,0,0,0,15,5,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,0,0,5,0,0,10,0,0,0,2,13,0,0,1,1,0,0,0,0,0,1,9,18,176,1,1,0,0,0,4,0,0,0,0,5,5,1,1,0,0,2,0,0,0,0,0,0,0,1,0,4,1,4,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,27,1,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,1,0,0,15,5,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,10,1,0,4,0,2,0,3,7,0,0,3,0,0,0,0,0,0,0,7,12,139,1,2,1,0,0,2,0,0,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,40,1,0,0,0,0,0,0,0,0,0,0,0
2024-10-04,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,1,0,0,1,8,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,2,0,0,1,0,4,1,0,7,0,1,1,2,8,0,0,1,2,0,0,0,0,0,1,3,16,121,0,0,0,0,0,2,0,1,0,1,3,2,0,2,0,0,1,0,0,0,0,0,1,0,1,0,3,1,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,5,1,0,3,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,3,9,83,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-06,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,1,1,0,4,1,0,0,5,12,0,0,1,0,0,0,0,0,0,0,5,10,99,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-07,0,0,0,1,1,0,0,0,0,0,0,0,3,0,12,0,0,0,0,9,10,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1,0,2,0,11,0,0,2,0,0,0,5,9,0,0,1,0,0,0,0,1,0,1,12,15,190,0,0,1,1,0,0,0,1,0,1,7,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,2,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,0,0,0,0,1,0,0,0,0,0,1,0,4,1,5,5,0,1,0,11,9,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,1,0,1,1,10,1,0,4,0,0,1,0,12,0,0,0,2,0,0,0,0,0,1,9,16,161,1,1,0,0,0,2,0,2,0,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-09,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,11,8,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0,0,0,11,0,0,4,0,0,1,0,13,0,0,0,1,0,0,0,1,0,1,9,14,152,1,1,0,0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-10,0,0,0,1,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,9,6,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,1,1,0,0,0,6,2,0,3,0,0,0,1,12,1,0,2,0,0,0,0,0,0,0,6,8,152,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,2,3,2,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0
